id_sesion,sesion,fecha,legislatura,leg_ses,url
2363,24,miércoles 12 mayo 2010,358,l358s24,https://www.camara.cl/verdoc.aspx?prmid=2363&prmtipo=TEXTOSESION&prmtipodoc=83
2362,23,martes 11 mayo 2010,358,l358s23,https://www.camara.cl/verdoc.aspx?prmid=2362&prmtipo=TEXTOSESION&prmtipodoc=83
2361,22,jueves 6 mayo 2010,358,l358s22,https://www.camara.cl/verdoc.aspx?prmid=2361&prmtipo=TEXTOSESION&prmtipodoc=83
2360,21,miércoles 5 mayo 2010,358,l358s21,https://www.camara.cl/verdoc.aspx?prmid=2360&prmtipo=TEXTOSESION&prmtipodoc=83
2359,20,miércoles 5 mayo 2010,358,l358s20,https://www.camara.cl/verdoc.aspx?prmid=2359&prmtipo=TEXTOSESION&prmtipodoc=83
2358,19,martes 4 mayo 2010,358,l358s19,https://www.camara.cl/verdoc.aspx?prmid=2358&prmtipo=TEXTOSESION&prmtipodoc=83
2357,18,jueves 22 abril 2010,358,l358s18,https://www.camara.cl/verdoc.aspx?prmid=2357&prmtipo=TEXTOSESION&prmtipodoc=83
2356,17,miércoles 21 abril 2010,358,l358s17,https://www.camara.cl/verdoc.aspx?prmid=2356&prmtipo=TEXTOSESION&prmtipodoc=83
2355,16,martes 20 abril 2010,358,l358s16,https://www.camara.cl/verdoc.aspx?prmid=2355&prmtipo=TEXTOSESION&prmtipodoc=83
2354,15,jueves 15 abril 2010,358,l358s15,https://www.camara.cl/verdoc.aspx?prmid=2354&prmtipo=TEXTOSESION&prmtipodoc=83
2353,14,miércoles 14 abril 2010,358,l358s14,https://www.camara.cl/verdoc.aspx?prmid=2353&prmtipo=TEXTOSESION&prmtipodoc=83
2352,13,martes 13 abril 2010,358,l358s13,https://www.camara.cl/verdoc.aspx?prmid=2352&prmtipo=TEXTOSESION&prmtipodoc=83
2351,12,jueves 8 abril 2010,358,l358s12,https://www.camara.cl/verdoc.aspx?prmid=2351&prmtipo=TEXTOSESION&prmtipodoc=83
2350,11,miércoles 7 abril 2010,358,l358s11,https://www.camara.cl/verdoc.aspx?prmid=2350&prmtipo=TEXTOSESION&prmtipodoc=83
2349,10,martes 6 abril 2010,358,l358s10,https://www.camara.cl/verdoc.aspx?prmid=2349&prmtipo=TEXTOSESION&prmtipodoc=83
2348,9,martes 6 abril 2010,358,l358s9,https://www.camara.cl/verdoc.aspx?prmid=2348&prmtipo=TEXTOSESION&prmtipodoc=83
2346,8,jueves 25 marzo 2010,358,l358s8,https://www.camara.cl/verdoc.aspx?prmid=2346&prmtipo=TEXTOSESION&prmtipodoc=83
2345,7,miércoles 24 marzo 2010,358,l358s7,https://www.camara.cl/verdoc.aspx?prmid=2345&prmtipo=TEXTOSESION&prmtipodoc=83
2344,6,martes 23 marzo 2010,358,l358s6,https://www.camara.cl/verdoc.aspx?prmid=2344&prmtipo=TEXTOSESION&prmtipodoc=83
2343,5,martes 23 marzo 2010,358,l358s5,https://www.camara.cl/verdoc.aspx?prmid=2343&prmtipo=TEXTOSESION&prmtipodoc=83
2342,4,jueves 18 marzo 2010,358,l358s4,https://www.camara.cl/verdoc.aspx?prmid=2342&prmtipo=TEXTOSESION&prmtipodoc=83
2341,3,miércoles 17 marzo 2010,358,l358s3,https://www.camara.cl/verdoc.aspx?prmid=2341&prmtipo=TEXTOSESION&prmtipodoc=83
2340,2,martes 16 marzo 2010,358,l358s2,https://www.camara.cl/verdoc.aspx?prmid=2340&prmtipo=TEXTOSESION&prmtipodoc=83
2338,1,martes 16 marzo 2010,358,l358s1,https://www.camara.cl/verdoc.aspx?prmid=2338&prmtipo=TEXTOSESION&prmtipodoc=83
2337,0,jueves 11 marzo 2010,358,l358s0,https://www.camara.cl/verdoc.aspx?prmid=2337&prmtipo=TEXTOSESION&prmtipodoc=83
2768,142,jueves 8 marzo 2012,359,l359s142,https://www.camara.cl/verdoc.aspx?prmid=2768&prmtipo=TEXTOSESION&prmtipodoc=83
2767,141,miércoles 7 marzo 2012,359,l359s141,https://www.camara.cl/verdoc.aspx?prmid=2767&prmtipo=TEXTOSESION&prmtipodoc=83
2765,140,martes 6 marzo 2012,359,l359s140,https://www.camara.cl/verdoc.aspx?prmid=2765&prmtipo=TEXTOSESION&prmtipodoc=83
2764,139,martes 24 enero 2012,359,l359s139,https://www.camara.cl/verdoc.aspx?prmid=2764&prmtipo=TEXTOSESION&prmtipodoc=83
2762,138,lunes 23 enero 2012,359,l359s138,https://www.camara.cl/verdoc.aspx?prmid=2762&prmtipo=TEXTOSESION&prmtipodoc=83
2761,137,lunes 23 enero 2012,359,l359s137,https://www.camara.cl/verdoc.aspx?prmid=2761&prmtipo=TEXTOSESION&prmtipodoc=83
2760,136,jueves 19 enero 2012,359,l359s136,https://www.camara.cl/verdoc.aspx?prmid=2760&prmtipo=TEXTOSESION&prmtipodoc=83
2759,135,miércoles 18 enero 2012,359,l359s135,https://www.camara.cl/verdoc.aspx?prmid=2759&prmtipo=TEXTOSESION&prmtipodoc=83
2758,134,miércoles 18 enero 2012,359,l359s134,https://www.camara.cl/verdoc.aspx?prmid=2758&prmtipo=TEXTOSESION&prmtipodoc=83
2757,133,martes 17 enero 2012,359,l359s133,https://www.camara.cl/verdoc.aspx?prmid=2757&prmtipo=TEXTOSESION&prmtipodoc=83
2756,132,jueves 12 enero 2012,359,l359s132,https://www.camara.cl/verdoc.aspx?prmid=2756&prmtipo=TEXTOSESION&prmtipodoc=83
2755,131,miércoles 11 enero 2012,359,l359s131,https://www.camara.cl/verdoc.aspx?prmid=2755&prmtipo=TEXTOSESION&prmtipodoc=83
2754,130,miércoles 11 enero 2012,359,l359s130,https://www.camara.cl/verdoc.aspx?prmid=2754&prmtipo=TEXTOSESION&prmtipodoc=83
2753,129,martes 10 enero 2012,359,l359s129,https://www.camara.cl/verdoc.aspx?prmid=2753&prmtipo=TEXTOSESION&prmtipodoc=83
2752,128,jueves 5 enero 2012,359,l359s128,https://www.camara.cl/verdoc.aspx?prmid=2752&prmtipo=TEXTOSESION&prmtipodoc=83
